Car Name,Range (km),Battery (kWh),Efficiency (Wh/km),Towing Capacity (kg),Fast Charging Speed (kW),Weight (kg),0-100 km/h (s),Stop Range (km),Price per Range (€),Cargo Volume (L),German Price (€),Dutch Price (€),UK Price (£)
NIO EL7 Long Range,430 km,"90,0 kWh",209 Wh/km,2.000 kg,100 kW,2.441 kg,"3,9 sec",421 km,€224 /km,570 L,"€94,900","€97,900",N/A
Mercedes-Benz EQE 350,515 km,"89,0 kWh",173 Wh/km,750 kg,120 kW,2.405 kg,"6,4 sec",556 km,€157 /km,430 L,"€70,995","€83,238","£77,345"
Audi Q8 e-tron 50 quattro,425 km,"89,0 kWh",209 Wh/km,1.800 kg,146 kW,2.585 kg,"6,0 sec",443 km,€179 /km,631 L,"€75,900","€71,385","£70,715"
Mini Aceman E,230 km,"38,5 kWh",167 Wh/km,750 kg,60 kW,1.720 kg,"7,9 sec",243 km,€160 /km,300 L,"€34,900","€38,990","£31,800"
Audi Q6 e-tron Sportback performance,510 km,"94,9 kWh",186 Wh/km,2.000 kg,190 kW,2.250 kg,"6,6 sec",597 km,€144 /km,575 L,"€71,200","€73,990","£65,975"
Audi e-tron GT RS performance,525 km,"97,0 kWh",185 Wh/km,0 kg,240 kW,2.395 kg,"2,5 sec",664 km,€311 /km,427 L,"€160,500","€164,990","£142,830"
Porsche Macan Turbo Electric,470 km,"95,0 kWh",202 Wh/km,2.000 kg,200 kW,2.480 kg,"3,3 sec",563 km,€245 /km,564 L,"€114,600","€121,000","£95,000"
Mercedes-Benz EQB 300 4MATIC,340 km,"66,5 kWh",196 Wh/km,0 kg,100 kW,2.175 kg,"8,0 sec",350 km,€181 /km,495 L,"€55,519","€65,483","£55,310"
Volkswagen ID.5 GTX,430 km,"77,0 kWh",179 Wh/km,1.200 kg,120 kW,2.242 kg,"5,5 sec",477 km,€141 /km,549 L,"€56,455","€61,490","£55,365"
Skoda Enyaq 60,355 km,"59,0 kWh",166 Wh/km,1.000 kg,105 kW,2.002 kg,"8,1 sec",409 km,€124 /km,585 L,"€44,400","€42,990","£39,000"
Opel Astra Sports Tourer Electric ,310 km,"50,8 kWh",164 Wh/km,0 kg,85 kW,1.760 kg,"9,3 sec",334 km,€141 /km,516 L,"€43,490","€41,499","£39,995"
Mercedes-Benz EQS AMG 53 4MATIC+,585 km,"118,0 kWh",202 Wh/km,1.700 kg,160 kW,2.700 kg,"3,4 sec",619 km,€293 /km,620 L,"€155,009","€173,825","£161,860"
Kia e-Soul 64 kWh,370 km,"64,0 kWh",173 Wh/km,0 kg,64 kW,1.757 kg,"7,9 sec",343 km,€107 /km,315 L,"€42,390","€36,495","£34,995"
NIO ET5 Touring Long Range,485 km,"90,0 kWh",186 Wh/km,1.400 kg,135 kW,2.285 kg,"4,0 sec",527 km,€146 /km,450 L,"€68,500","€72,900",N/A
Fiat 500e Hatchback 24 kWh,135 km,"21,3 kWh",158 Wh/km,0 kg,40 kW,1.255 kg,"9,0 sec",153 km,€219 /km,185 L,"€30,990","€28,990","£24,995"
Opel Corsa Electric 50 kWh,295 km,"46,3 kWh",157 Wh/km,0 kg,78 kW,1.530 kg,"8,7 sec",321 km,€121 /km,267 L,"€34,650","€34,999","£32,445"
Volvo EX40 Twin Motor,385 km,"79,0 kWh",205 Wh/km,1.800 kg,125 kW,2.170 kg,"4,8 sec",419 km,€164 /km,441 L,"€59,590",N/A,"£57,805"
Mercedes-Benz EQC 400 4MATIC,370 km,"80,0 kWh",216 Wh/km,1.800 kg,100 kW,2.495 kg,"5,1 sec",366 km,€201 /km,500 L,"€69,484","€77,935","£65,720"
Mercedes-Benz EQS 350,540 km,"90,6 kWh",168 Wh/km,750 kg,141 kW,2.390 kg,"6,6 sec",601 km,€175 /km,610 L,"€97,806","€91,303",N/A
Lotus Emeya ,520 km,"98,9 kWh",190 Wh/km,2.250 kg,240 kW,2.550 kg,"4,2 sec",665 km,€209 /km,543 L,"€106,400","€109,685","£96,255"
Porsche Taycan Turbo GT,475 km,"97,0 kWh",204 Wh/km,0 kg,240 kW,2.365 kg,"2,3 sec",594 km,€494 /km,410 L,"€240,000","€249,900","£186,300"
Citroen e-C4 X 54 kWh,330 km,"50,8 kWh",154 Wh/km,0 kg,78 kW,1.650 kg,"9,3 sec",355 km,€119 /km,510 L,"€36,325","€40,305","£35,800"
Hyundai IONIQ 9 Performance AWD,470 km,"106,0 kWh",226 Wh/km,2.500 kg,195 kW,2.750 kg,"5,2 sec",535 km,€166 /km,672 L,"* €79,000","* €75,000","* £70,000"
Ford Focus Electric,105 km,"19,6 kWh",186 Wh/km,unknown,0 kW,1.700 kg,"11,4 sec",75 km,€358 /km,237 L,"€39,990","€39,990","£28,500"
Renault Megane E-Tech EV40 130hp,260 km,"40,0 kWh",154 Wh/km,500 kg,55 kW,1.588 kg,"10,0 sec",277 km,€151 /km,440 L,"€42,000","€36,370",N/A
Ford Mustang Mach-E ER AWD,440 km,"91,0 kWh",207 Wh/km,1.000 kg,86 kW,2.257 kg,"5,8 sec",410 km,€165 /km,422 L,"€69,700","€73,840","£65,080"
Fisker Ocean One,530 km,"106,5 kWh",201 Wh/km,1.820 kg,135 kW,2.434 kg,"3,9 sec",567 km,€133 /km,476 L,"€69,950","€71,058","£60,880"
Volvo XC40 Recharge Pure Electric,305 km,"67,0 kWh",220 Wh/km,1.500 kg,116 kW,2.030 kg,"7,4 sec",325 km,€164 /km,450 L,"€48,650","€45,950","£48,300"
Skoda Enyaq 60,335 km,"58,0 kWh",173 Wh/km,1.000 kg,82 kW,1.992 kg,"8,7 sec",361 km,€133 /km,585 L,"€44,200","€44,990","£38,970"
Audi e-tron 55 quattro,365 km,"86,5 kWh",237 Wh/km,1.800 kg,146 kW,2.565 kg,"5,7 sec",384 km,€222 /km,660 L,"€80,900","€84,100","£68,060"
Tesla Model X Long Range Plus,480 km,"98,0 kWh",204 Wh/km,2.250 kg,125 kW,2.505 kg,"4,6 sec",529 km,€199 /km,unknown,"€90,990","€95,005","£87,980"
Kia EV6 Standard Range 2WD,305 km,"54,0 kWh",177 Wh/km,750 kg,140 kW,1.875 kg,"8,5 sec",377 km,€148 /km,563 L,"€46,990","€43,495",N/A
Audi Q4 Sportback e-tron 45,435 km,"77,0 kWh",177 Wh/km,1.000 kg,120 kW,2.145 kg,"6,7 sec",485 km,€132 /km,535 L,"€54,950","€56,915","£52,245"
Mercedes-Benz EQA 300 4MATIC,350 km,"66,5 kWh",190 Wh/km,1.800 kg,100 kW,2.105 kg,"7,7 sec",359 km,€170 /km,340 L,"€53,746","€64,031","£53,010"
NIO ET5 Standard Range,410 km,"73,5 kWh",179 Wh/km,1.400 kg,110 kW,2.215 kg,"4,0 sec",447 km,€149 /km,386 L,"€59,500","€62,700",N/A
Polestar 2 Long Range Performance,450 km,"79,0 kWh",176 Wh/km,1.500 kg,125 kW,2.180 kg,"4,2 sec",507 km,€139 /km,446 L,"€58,775","€61,700","£57,950"
Citroen C-Zero ,85 km,"14,5 kWh",171 Wh/km,0 kg,30 kW,1.140 kg,"15,9 sec",101 km,€252 /km,166 L,"€21,800","€22,360","£17,520"
Aiways U5 ,315 km,"60,0 kWh",190 Wh/km,unknown,78 kW,1.795 kg,"7,5 sec",313 km,€121 /km,432 L,"€35,993","€39,950",N/A
Kia EV9 76.1 kWh RWD,355 km,"73,0 kWh",206 Wh/km,900 kg,160 kW,2.312 kg,"8,5 sec",418 km,€169 /km,423 L,N/A,"€59,995",N/A
Mercedes-Benz EQE SUV 300,450 km,"90,6 kWh",201 Wh/km,750 kg,141 kW,2.440 kg,"7,6 sec",485 km,€186 /km,520 L,"€83,479","€83,480",N/A
Porsche Macan 4S Electric,485 km,"95,0 kWh",196 Wh/km,2.000 kg,200 kW,2.420 kg,"4,1 sec",580 km,€188 /km,624 L,"€90,700","€96,000","£75,400"
BMW i5 xDrive40 Touring,445 km,"81,2 kWh",182 Wh/km,2.000 kg,136 kW,2.405 kg,"5,5 sec",512 km,€181 /km,570 L,"€77,600","€83,327",N/A
Audi Q4 Sportback e-tron 40,425 km,"76,6 kWh",180 Wh/km,1.000 kg,125 kW,2.120 kg,"8,5 sec",453 km,€138 /km,535 L,"€53,900","€61,465","£52,130"
Porsche Taycan Turbo,415 km,"83,7 kWh",202 Wh/km,0 kg,216 kW,2.380 kg,"3,2 sec",528 km,€367 /km,450 L,"€156,348","€162,400","£119,900"
Hongqi E-HS9 84 kWh,320 km,"76,5 kWh",239 Wh/km,1.500 kg,112 kW,2.580 kg,"6,5 sec",334 km,€219 /km,438 L,N/A,"€69,995",N/A
Peugeot e-5008 73 kWh Dual Motor,360 km,"73,0 kWh",203 Wh/km,unknown,90 kW,2.300 kg,"7,0 sec",381 km,€150 /km,348 L,"* €55,000","* €50,000","* £50,000"
BMW i3 94 Ah,165 km,"27,2 kWh",165 Wh/km,0 kg,46 kW,1.320 kg,"7,3 sec",170 km,€226 /km,260 L,"€37,550","€40,412","£29,570"
Dacia Spring Electric,160 km,"25,0 kWh",156 Wh/km,0 kg,29 kW,1.020 kg,"19,1 sec",151 km,€120 /km,300 L,"€20,490","€17,890",N/A
Tesla Model X Performance,470 km,"98,0 kWh",209 Wh/km,2.250 kg,125 kW,2.552 kg,"2,9 sec",516 km,€240 /km,unknown,"€107,990","€112,005","£102,980"
Polestar 2 Standard Range Single Motor,345 km,"61,0 kWh",177 Wh/km,1.500 kg,116 kW,2.015 kg,"7,4 sec",389 km,€133 /km,440 L,"€45,500","€45,900","£39,900"
Ford Mustang Mach-E GT,425 km,"91,0 kWh",214 Wh/km,750 kg,115 kW,2.348 kg,"3,7 sec",433 km,€187 /km,422 L,"€77,300","€75,200","£74,540"
Lucid Air Pure RWD,565 km,"92,0 kWh",163 Wh/km,0 kg,160 kW,2.300 kg,"4,7 sec",650 km,€153 /km,739 L,"€85,000","€88,000",N/A
Peugeot e-308 SW ,300 km,"50,8 kWh",169 Wh/km,unknown,80 kW,1.791 kg,"10,0 sec",319 km,€151 /km,608 L,"€45,765","€42,570","£41,250"
Dacia Spring Electric 65 Extreme,160 km,"25,0 kWh",156 Wh/km,0 kg,29 kW,1.035 kg,"13,7 sec",149 km,€150 /km,300 L,"€24,550","€23,400",N/A
Nissan Townstar EV Passenger,225 km,"45,0 kWh",200 Wh/km,1.500 kg,50 kW,1.872 kg,"12,6 sec",221 km,€178 /km,819 L,"€39,990",N/A,N/A
Audi Q8 e-tron Sportback 55 quattro,525 km,"106,0 kWh",202 Wh/km,1.800 kg,144 kW,2.585 kg,"5,6 sec",543 km,€169 /km,590 L,"€89,550","€80,990","£83,215"
Porsche Taycan Turbo GT Weissach,475 km,"97,0 kWh",204 Wh/km,0 kg,240 kW,2.295 kg,"2,2 sec",594 km,€494 /km,451 L,"€240,000","€249,900","£186,300"
Volkswagen ID.3 Pure Performance,275 km,"45,0 kWh",164 Wh/km,0 kg,72 kW,1.781 kg,"8,9 sec",300 km,€128 /km,385 L,N/A,"€37,990","£28,135"
Renault Zoe R240,145 km,"23,3 kWh",161 Wh/km,unknown,0 kW,1.502 kg,"13,5 sec",102 km,€148 /km,338 L,"€21,500","€20,990","£18,945"
Volvo XC40 P8 AWD Recharge,335 km,"75,0 kWh",224 Wh/km,1.500 kg,108 kW,2.188 kg,"4,9 sec",348 km,€173 /km,450 L,"€60,437","€55,495","£49,950"
Mercedes-Benz EQA 350 4MATIC,350 km,"66,5 kWh",190 Wh/km,1.800 kg,100 kW,2.105 kg,"6,0 sec",359 km,€177 /km,340 L,"€56,424","€66,935","£54,510"
Lightyear 0 ,550 km,"60,0 kWh",109 Wh/km,0 kg,60 kW,1.575 kg,"10,0 sec",535 km,€548 /km,640 L,"€297,500","€302,500","£265,000"
Volvo XC40 Recharge Single Motor,340 km,"66,0 kWh",194 Wh/km,1.500 kg,85 kW,2.040 kg,"7,3 sec",352 km,€144 /km,441 L,"€47,500","€45,995","£46,505"
Mercedes-Benz EQS SUV 450+,540 km,"118,0 kWh",219 Wh/km,750 kg,160 kW,2.730 kg,"6,8 sec",559 km,€219 /km,645 L,"€110,801","€125,425",N/A
Citroen e-Berlingo M 50 kWh,205 km,"46,3 kWh",226 Wh/km,750 kg,78 kW,1.739 kg,"11,7 sec",221 km,€190 /km,571 L,"€37,790","€41,741","£32,315"
DS 3 E-Tense,300 km,"50,8 kWh",169 Wh/km,0 kg,85 kW,1.625 kg,"9,0 sec",320 km,€137 /km,350 L,"€40,540","€39,840","£37,200"
MG MG5 EV,290 km,"48,8 kWh",168 Wh/km,0 kg,60 kW,1.607 kg,"7,7 sec",290 km,€103 /km,464 L,N/A,N/A,"£26,095"
Mercedes-Benz EQB 250+,410 km,"70,5 kWh",172 Wh/km,0 kg,90 kW,2.115 kg,"8,9 sec",401 km,€133 /km,495 L,"€53,978","€54,966",N/A
SsangYong Korando e-Motion,290 km,"56,0 kWh",193 Wh/km,1.500 kg,69 kW,1.840 kg,"8,5 sec",277 km,€137 /km,551 L,"€42,490","€39,990","£31,995"
Aiways U5 ,315 km,"60,0 kWh",190 Wh/km,unknown,78 kW,1.795 kg,"7,5 sec",313 km,€131 /km,496 L,"€39,563","€42,950",N/A
Volkswagen ID.3 GTX Performance,460 km,"79,0 kWh",172 Wh/km,0 kg,135 kW,2.000 kg,"5,6 sec",517 km,€114 /km,385 L,"€52,295","€51,990","£46,225"
Ford Mustang Mach-E ER AWD,440 km,"91,0 kWh",207 Wh/km,1.500 kg,115 kW,2.257 kg,"4,3 sec",447 km,€156 /km,422 L,"€65,900","€64,400","£65,405"
Renault Zoe R90,255 km,"41,0 kWh",161 Wh/km,0 kg,0 kW,1.555 kg,"13,5 sec",182 km,€122 /km,338 L,"€33,200","€32,890","£23,770"
Volkswagen ID.5 Pro Performance,430 km,"77,0 kWh",179 Wh/km,1.000 kg,125 kW,2.117 kg,"8,4 sec",459 km,€122 /km,549 L,"€47,550","€50,090","£51,940"
BMW i5 xDrive40 Sedan,455 km,"81,2 kWh",178 Wh/km,2.000 kg,136 kW,2.355 kg,"5,4 sec",522 km,€172 /km,490 L,"€75,600","€81,270",N/A
Audi Q6 e-tron Sportback quattro,500 km,"94,9 kWh",190 Wh/km,2.400 kg,200 kW,2.400 kg,"5,9 sec",595 km,€160 /km,575 L,"€77,100","€79,990","£71,475"
Hongqi E-HS9 120 kWh,460 km,"112,0 kWh",243 Wh/km,1.500 kg,110 kW,2.777 kg,"4,9 sec",421 km,€224 /km,438 L,N/A,"€102,995",N/A
Polestar 2 Long Range Performance,450 km,"79,0 kWh",176 Wh/km,1.500 kg,125 kW,2.175 kg,"4,2 sec",507 km,€142 /km,448 L,"€63,490","€61,700","£57,950"
Porsche Taycan Turbo S,400 km,"83,7 kWh",209 Wh/km,0 kg,216 kW,2.370 kg,"2,8 sec",504 km,€459 /km,450 L,"€189,668","€196,900","£142,400"
Porsche Taycan GTS,450 km,"83,7 kWh",186 Wh/km,0 kg,216 kW,2.370 kg,"3,7 sec",578 km,€306 /km,491 L,"€139,906","€146,663","£110,200"
Abarth 500e Hatchback,225 km,"37,8 kWh",168 Wh/km,0 kg,67 kW,1.410 kg,"7,0 sec",251 km,€169 /km,185 L,"€37,990","€36,490","£34,195"
Audi Q4 e-tron 45 quattro,395 km,"77,0 kWh",195 Wh/km,1.200 kg,120 kW,2.235 kg,"6,6 sec",437 km,€145 /km,520 L,"€54,950","€56,865","£52,175"
e.Go e.wave X ,150 km,"27,0 kWh",180 Wh/km,0 kg,0 kW,1.280 kg,"12,0 sec",106 km,€167 /km,116 L,"€24,990",N/A,N/A
Hyundai IONIQ 5 Project 45,365 km,"70,0 kWh",192 Wh/km,1.600 kg,185 kW,2.095 kg,"5,2 sec",452 km,€159 /km,555 L,"€59,550","€58,995","£48,000"
Ford Explorer Standard Range RWD,300 km,"52,0 kWh",173 Wh/km,1.000 kg,85 kW,2.008 kg,"8,7 sec",338 km,€144 /km,536 L,"€42,500","€41,450","£39,875"
Honda e Advance,170 km,"28,5 kWh",168 Wh/km,0 kg,32 kW,1.595 kg,"8,3 sec",169 km,€242 /km,171 L,"€39,900","€40,615","£37,395"
Genesis GV60 Premium,390 km,"74,0 kWh",190 Wh/km,1.600 kg,200 kW,1.975 kg,"7,8 sec",487 km,€159 /km,432 L,N/A,N/A,"£53,905"
Mercedes-Benz EQS 500 4MATIC,645 km,"118,0 kWh",183 Wh/km,1.700 kg,160 kW,2.630 kg,"4,9 sec",688 km,€210 /km,620 L,"€125,378","€145,390",N/A
Tesla Model X Ludicrous Performance,420 km,"95,0 kWh",226 Wh/km,2.250 kg,100 kW,2.572 kg,"3,0 sec",413 km,€274 /km,unknown,"€112,700","€115,920","£101,350"
SEAT Mii Electric ,205 km,"32,3 kWh",158 Wh/km,0 kg,30 kW,1.235 kg,"12,3 sec",188 km,€116 /km,251 L,"€24,650","€23,400","£20,300"
Audi e-tron Sportback 50 quattro,295 km,"64,7 kWh",219 Wh/km,1.800 kg,114 kW,2.445 kg,"6,8 sec",315 km,€244 /km,615 L,"€71,350","€65,100","£69,100"
Mercedes-Benz EQE SUV 500 4MATIC,455 km,"96,0 kWh",211 Wh/km,1.800 kg,141 kW,2.610 kg,"4,9 sec",482 km,€235 /km,520 L,"€99,841","€116,755","£90,505"
Volvo EC40 Single Motor,360 km,"67,0 kWh",186 Wh/km,1.500 kg,110 kW,2.057 kg,"7,3 sec",399 km,€152 /km,435 L,"€52,690","€50,495","£52,555"
Mercedes-Benz EQV 300 Long,315 km,"90,0 kWh",286 Wh/km,0 kg,96 kW,2.741 kg,"12,1 sec",291 km,€272 /km,1.030 L,"€62,010","€88,626","£92,255"
Lotus Emeya R,465 km,"98,9 kWh",213 Wh/km,1.225 kg,240 kW,2.650 kg,"2,8 sec",586 km,€328 /km,543 L,"€150,990","€155,025","£131,255"
Mercedes-Benz EQS 500 4MATIC,590 km,"108,4 kWh",184 Wh/km,750 kg,173 kW,2.630 kg,"4,8 sec",654 km,€229 /km,620 L,"€125,378","€145,390",N/A
Tesla Model S Performance,515 km,"95,0 kWh",184 Wh/km,0 kg,110 kW,2.307 kg,"2,6 sec",546 km,€193 /km,894 L,"€96,990","€98,005","£89,980"
Porsche Taycan 4S Plus,565 km,"97,0 kWh",172 Wh/km,0 kg,240 kW,2.325 kg,"3,7 sec",719 km,€221 /km,491 L,"€126,422","€132,631","£100,196"
XPENG P7 AWD Performance,460 km,"82,7 kWh",180 Wh/km,0 kg,138 kW,2.215 kg,"4,1 sec",521 km,€130 /km,440 L,"€58,600","€61,188",N/A
Porsche Taycan Turbo S,525 km,"97,0 kWh",185 Wh/km,0 kg,240 kW,2.370 kg,"2,4 sec",657 km,€390 /km,450 L,"€209,900","€218,900","£161,400"
Polestar 2 Standard Range Single Motor,405 km,"67,0 kWh",165 Wh/km,1.500 kg,85 kW,2.019 kg,"6,4 sec",426 km,€118 /km,446 L,"€46,275","€44,950","£44,950"
Zeekr 001 Privilege AWD,480 km,"94,0 kWh",196 Wh/km,2.000 kg,135 kW,2.410 kg,"3,8 sec",521 km,€144 /km,539 L,"€68,970","€69,490",N/A
BYD DOLPHIN 44.9 kWh Boost,260 km,"44,9 kWh",173 Wh/km,0 kg,50 kW,1.700 kg,"8,0 sec",249 km,€124 /km,345 L,N/A,"€32,990","£27,195"
Audi e-tron GT RS,525 km,"97,0 kWh",185 Wh/km,0 kg,240 kW,2.395 kg,"2,8 sec",664 km,€282 /km,427 L,"€147,500","€151,990","£126,330"
Peugeot e-3008 73 kWh Dual Motor,375 km,"73,0 kWh",195 Wh/km,unknown,90 kW,2.199 kg,"6,4 sec",394 km,€135 /km,588 L,"* €50,000","* €48,000","* £47,000"
Skoda Enyaq Coupe 85,460 km,"77,0 kWh",167 Wh/km,1.000 kg,120 kW,2.145 kg,"6,7 sec",484 km,€114 /km,570 L,"€51,150","€52,490","£46,440"
Smart #1 Premium,335 km,"62,0 kWh",185 Wh/km,1.600 kg,100 kW,1.875 kg,"6,7 sec",364 km,€135 /km,338 L,"€44,990","€45,400","£38,950"
Mercedes-Benz eVito Tourer Long 90 kWh,310 km,"90,0 kWh",290 Wh/km,0 kg,96 kW,2.530 kg,"12,0 sec",283 km,€249 /km,990 L,"€64,248","€79,061","£76,368"
Mercedes-Benz EQA 250+,420 km,"70,5 kWh",168 Wh/km,750 kg,90 kW,2.045 kg,"8,6 sec",414 km,€129 /km,340 L,"€52,205","€52,546","£49,750"
Polestar 2 Long Range Performance,385 km,"75,0 kWh",195 Wh/km,1.500 kg,108 kW,2.188 kg,"4,4 sec",409 km,€162 /km,440 L,"€61,495","€62,700","£54,550"
BMW i5 M60 xDrive Touring,425 km,"81,2 kWh",191 Wh/km,2.000 kg,136 kW,2.425 kg,"3,9 sec",485 km,€251 /km,570 L,"€101,500","€111,520",N/A
Skoda Enyaq iV 50,305 km,"52,0 kWh",170 Wh/km,0 kg,45 kW,1.937 kg,"11,3 sec",271 km,€131 /km,585 L,"€39,900",N/A,N/A
Peugeot e-2008 50 kWh,270 km,"46,3 kWh",171 Wh/km,0 kg,78 kW,1.623 kg,"9,9 sec",294 km,€142 /km,434 L,"€39,000","€39,270","£32,300"
Volkswagen e-Up! ,100 km,"16,0 kWh",160 Wh/km,0 kg,30 kW,1.229 kg,"12,4 sec",111 km,€235 /km,250 L,"€22,975","€25,095","£19,615"
Audi SQ8 e-tron ,455 km,"106,0 kWh",233 Wh/km,1.800 kg,144 kW,2.725 kg,"4,5 sec",463 km,€228 /km,631 L,"€98,100","€99,990","£98,815"
Mercedes-Benz EQT 200 Standard,225 km,"45,0 kWh",200 Wh/km,1.500 kg,50 kW,1.874 kg,"12,6 sec",225 km,€200 /km,551 L,"€39,623","€50,227",N/A
MG Cyberster Trophy,430 km,"74,4 kWh",173 Wh/km,unknown,85 kW,1.900 kg,"5,0 sec",446 km,€150 /km,249 L,"€64,990","€65,490","£54,995"
Dacia Spring Electric,160 km,"25,0 kWh",156 Wh/km,0 kg,29 kW,1.012 kg,"19,1 sec",151 km,€123 /km,300 L,"€20,490","€18,750",N/A
Audi e-tron S Sportback ,330 km,"86,5 kWh",262 Wh/km,1.800 kg,146 kW,2.730 kg,"4,5 sec",348 km,€292 /km,615 L,"€96,050","€88,815","£90,235"
Volvo EX90 Single Motor,460 km,"101,0 kWh",220 Wh/km,1.200 kg,140 kW,2.637 kg,"8,4 sec",497 km,€182 /km,347 L,"€83,700","€83,495",N/A
Volkswagen e-Up! ,95 km,"16,0 kWh",168 Wh/km,0 kg,30 kW,1.214 kg,"12,4 sec",104 km,€269 /km,250 L,"€26,900","€25,770","£20,780"
Tesla Model S 60,345 km,"62,0 kWh",180 Wh/km,unknown,95 kW,2.102 kg,"5,8 sec",370 km,€221 /km,895 L,"€69,019","€83,585",N/A
Mercedes-Benz EQS 580 4MATIC,595 km,"107,8 kWh",181 Wh/km,750 kg,173 kW,2.585 kg,"4,3 sec",655 km,€265 /km,610 L,"€141,705","€173,825",N/A
Skoda Enyaq Coupe iV RS,430 km,"77,0 kWh",179 Wh/km,1.200 kg,115 kW,2.253 kg,"6,5 sec",471 km,€146 /km,575 L,"€63,300","€61,990","£54,370"
Mercedes-Benz EQA 350 4MATIC,350 km,"66,5 kWh",190 Wh/km,1.800 kg,100 kW,2.110 kg,"6,0 sec",359 km,€178 /km,340 L,"€56,424","€67,308","£54,510"
Mitsubishi i-MiEV ,85 km,"14,5 kWh",171 Wh/km,0 kg,30 kW,1.160 kg,"15,9 sec",98 km,€310 /km,166 L,"€23,790","€27,615","£24,054"
Smart ForTwo Electric Drive,100 km,"16,7 kWh",167 Wh/km,0 kg,0 kW,1.085 kg,"11,5 sec",71 km,€215 /km,260 L,"€21,940","€23,669","£16,420"
Hyundai Kona Electric 39 kWh,245 km,"39,2 kWh",160 Wh/km,0 kg,37 kW,1.610 kg,"9,9 sec",223 km,€145 /km,361 L,"€34,850","€36,795","£30,650"
Volkswagen ID.3 Pro Performance,350 km,"58,0 kWh",166 Wh/km,0 kg,82 kW,1.805 kg,"7,3 sec",375 km,€104 /km,385 L,"€36,495","€38,390","£29,740"
Genesis G80 Electrified Luxury,440 km,"82,5 kWh",188 Wh/km,unknown,160 kW,2.325 kg,"4,9 sec",507 km,€170 /km,354 L,"€69,200",N/A,"£69,805"
Volvo C40 Recharge Single Motor,355 km,"66,0 kWh",186 Wh/km,1.500 kg,85 kW,2.065 kg,"7,3 sec",368 km,€145 /km,450 L,"€47,500","€50,995","£48,355"
Smart #3 Pro+,355 km,"62,0 kWh",175 Wh/km,1.600 kg,100 kW,1.855 kg,"5,8 sec",390 km,€121 /km,385 L,"€43,490","€43,395","£36,950"
Volkswagen ID.3 Pro S - 4 Seats,450 km,"77,0 kWh",171 Wh/km,0 kg,115 kW,1.935 kg,"7,9 sec",488 km,€123 /km,385 L,"€56,500",N/A,"£47,470"
Volkswagen ID.4 Pure Performance,285 km,"52,0 kWh",182 Wh/km,1.000 kg,70 kW,1.965 kg,"9,0 sec",301 km,€154 /km,543 L,"€39,955","€45,390","£40,275"
Volvo EC40 Twin Motor,400 km,"79,0 kWh",198 Wh/km,1.800 kg,125 kW,2.185 kg,"4,8 sec",443 km,€160 /km,435 L,"€61,290",N/A,"£57,805"
Audi Q6 e-tron Sportback ,410 km,"75,8 kWh",185 Wh/km,2.000 kg,150 kW,2.200 kg,"7,0 sec",485 km,€167 /km,575 L,"€65,900","€67,990","£62,475"
Nissan Ariya e-4ORCE 87kWh - 320 kW Nismo,385 km,"87,0 kWh",226 Wh/km,unknown,110 kW,2.300 kg,"5,0 sec",379 km,€164 /km,415 L,"€63,990","€60,400","£56,620"
Volvo C40 Recharge Single Motor ER,420 km,"79,0 kWh",188 Wh/km,1.500 kg,125 kW,2.095 kg,"7,3 sec",459 km,€128 /km,450 L,"€54,450","€52,995",N/A
Porsche Taycan 4S Plus,460 km,"83,7 kWh",182 Wh/km,0 kg,216 kW,2.295 kg,"4,0 sec",587 km,€245 /km,491 L,"€114,389","€120,031","£90,406"
CUPRA Born 170 kW - 58 kWh,345 km,"58,0 kWh",168 Wh/km,0 kg,82 kW,1.824 kg,"6,6 sec",371 km,€116 /km,385 L,"€40,750","€38,989","£35,085"
Tesla Model S Standard Range,420 km,"72,5 kWh",173 Wh/km,0 kg,80 kW,2.183 kg,"4,2 sec",416 km,€201 /km,894 L,"€86,800","€83,420","£72,550"
Fiat 500e Cabrio 42 kWh,230 km,"37,3 kWh",162 Wh/km,0 kg,67 kW,1.405 kg,"9,0 sec",251 km,€161 /km,185 L,"€37,990","€37,490","£30,995"
Volkswagen ID.5 GTX,405 km,"77,0 kWh",190 Wh/km,1.200 kg,115 kW,2.242 kg,"6,3 sec",447 km,€145 /km,549 L,"€53,615","€55,690","£58,640"
GWM ORA 03 GT,325 km,"59,3 kWh",182 Wh/km,0 kg,55 kW,1.655 kg,"8,2 sec",300 km,€115 /km,228 L,"€37,490",N/A,N/A
Citroen e-Berlingo M 50 kWh,235 km,"50,0 kWh",213 Wh/km,750 kg,80 kW,1.811 kg,"11,7 sec",246 km,€162 /km,775 L,"€36,940","€41,358","£30,990"
Audi Q4 Sportback e-tron 45 quattro,410 km,"77,0 kWh",188 Wh/km,1.200 kg,120 kW,2.235 kg,"6,6 sec",453 km,€144 /km,535 L,"€56,950","€58,915","£53,675"
Porsche Taycan 4S Cross Turismo,510 km,"97,0 kWh",190 Wh/km,0 kg,240 kW,2.355 kg,"3,8 sec",639 km,€245 /km,530 L,"€126,400","€132,600","£100,400"
Kia e-Soul 64 kWh,370 km,"64,0 kWh",173 Wh/km,0 kg,64 kW,1.757 kg,"7,9 sec",343 km,€113 /km,315 L,"€36,837","€44,985","£37,545"
